subject	rt	item_type	name	item	sentence	gender	response_type	response	slide_number_in_experiment	screenW	screenH	OS	Browser	language	enjoyment	gender	age	comments	asses	eDucation	time_in_minutes
5	30293	wohl	Sarah	abendessen	Das Abendessen ist wohl fertig geworden.	F	evidence	evidence4	6	1366	768	Windows	Mozilla	deutsch	2	Female	54		Yes	3	3.381016667
6	55450	vermutlich	Mario	regen	Es hat vermutlich geregnet.	M	speakerbelief	0.92	3	1920	1080	Linux	Firefox	deutsch	2	Female	51		Yes	4	3.609883333
6	55451	vermutlich	Mario	regen	Es hat vermutlich geregnet.	M	evidence	evidence3	3	1920	1080	Linux	Firefox	deutsch	2	Female	51		Yes	4	3.609883333
6	32280	muss	Samuel	abendessen	Das Abendessen muss fertig geworden sein.	M	speakerbelief	0.86	4	1920	1080	Linux	Firefox	deutsch	2	Female	51		Yes	4	3.609883333
6	32280	muss	Samuel	abendessen	Das Abendessen muss fertig geworden sein.	M	evidence	evidence4	4	1920	1080	Linux	Firefox	deutsch	2	Female	51		Yes	4	3.609883333
6	37158	wohl	Karina	kaffee	Der Kaffee ist wohl kalt geworden.	F	speakerbelief	0.41	5	1920	1080	Linux	Firefox	deutsch	2	Female	51		Yes	4	3.609883333
6	37158	wohl	Karina	kaffee	Der Kaffee ist wohl kalt geworden.	F	evidence	evidence3	5	1920	1080	Linux	Firefox	deutsch	2	Female	51		Yes	4	3.609883333
6	30108	bare	Emilia	hund	Der Nachbarshund hat gebellt.	F	speakerbelief	0.99	6	1920	1080	Linux	Firefox	deutsch	2	Female	51		Yes	4	3.609883333
6	30108	bare	Emilia	hund	Der Nachbarshund hat gebellt.	F	evidence	evidence2	6	1920	1080	Linux	Firefox	deutsch	2	Female	51		Yes	4	3.609883333
7	25124	wohl	Angela	kaffee	Der Kaffee ist wohl kalt geworden.	F	speakerbelief	0.84	3	1422	1138	Windows	Mozilla	Deutsch	2	Male	36		Yes	2	1.625983333
7	25124	wohl	Angela	kaffee	Der Kaffee ist wohl kalt geworden.	F	evidence	evidence3	3	1422	1138	Windows	Mozilla	Deutsch	2	Male	36		Yes	2	1.625983333
7	21500	vermutlich	Kathrin	regen	Es hat vermutlich geregnet.	F	speakerbelief	0.47	4	1422	1138	Windows	Mozilla	Deutsch	2	Male	36		Yes	2	1.625983333
7	21500	vermutlich	Kathrin	regen	Es hat vermutlich geregnet.	F	evidence	evidence3	4	1422	1138	Windows	Mozilla	Deutsch	2	Male	36		Yes	2	1.625983333
7	13563	muss	Eva	abendessen	Das Abendessen muss fertig geworden sein.	F	speakerbelief	0.58	5	1422	1138	Windows	Mozilla	Deutsch	2	Male	36		Yes	2	1.625983333
7	13563	muss	Eva	abendessen	Das Abendessen muss fertig geworden sein.	F	evidence	evidence3	5	1422	1138	Windows	Mozilla	Deutsch	2	Male	36		Yes	2	1.625983333
7	10539	bare	Patrick	hund	Der Nachbarshund hat gebellt.	M	speakerbelief	0.98	6	1422	1138	Windows	Mozilla	Deutsch	2	Male	36		Yes	2	1.625983333
7	10539	bare	Patrick	hund	Der Nachbarshund hat gebellt.	M	evidence	evidence2	6	1422	1138	Windows	Mozilla	Deutsch	2	Male	36		Yes	2	1.625983333
8	46815	bare	Lisa	kaffee	Der Kaffee ist kalt geworden.	F	speakerbelief	1	3	1366	768	Windows	Firefox	Deutsch	2	Female	28		Yes	3	3.6512
8	46815	bare	Lisa	kaffee	Der Kaffee ist kalt geworden.	F	evidence	evidence3	3	1366	768	Windows	Firefox	Deutsch	2	Female	28		Yes	3	3.6512
8	50852	muss	Jakob	regen	Es muss geregnet haben.	M	speakerbelief	0.79	4	1366	768	Windows	Firefox	Deutsch	2	Female	28		Yes	3	3.6512
8	50852	muss	Jakob	regen	Es muss geregnet haben.	M	evidence	evidence3	4	1366	768	Windows	Firefox	Deutsch	2	Female	28		Yes	3	3.6512
8	29822	wohl	Susanne	abendessen	Das Abendessen ist wohl fertig geworden.	F	speakerbelief	0.77	5	1366	768	Windows	Firefox	Deutsch	2	Female	28		Yes	3	3.6512
8	29822	wohl	Susanne	abendessen	Das Abendessen ist wohl fertig geworden.	F	evidence	evidence4	5	1366	768	Windows	Firefox	Deutsch	2	Female	28		Yes	3	3.6512
8	53824	vermutlich	Sandra	hund	Der Nachbarshund hat vermutlich gebellt.	F	speakerbelief	0.65	6	1366	768	Windows	Firefox	Deutsch	2	Female	28		Yes	3	3.6512
8	53824	vermutlich	Sandra	hund	Der Nachbarshund hat vermutlich gebellt.	F	evidence	evidence3	6	1366	768	Windows	Firefox	Deutsch	2	Female	28		Yes	3	3.6512
9	102378	wohl	Maria	kaffee	Der Kaffee ist wohl kalt geworden.	F	speakerbelief	0.89	3	1024	768	Windows	Chrome	Deutsch	2	Male	47		Yes	1	6.308033333
9	102378	wohl	Maria	kaffee	Der Kaffee ist wohl kalt geworden.	F	evidence	evidence3	3	1024	768	Windows	Chrome	Deutsch	2	Male	47		Yes	1	6.308033333
9	59963	bare	Michael	abendessen	Das Abendessen ist fertig geworden.	M	speakerbelief	1	4	1024	768	Windows	Chrome	Deutsch	2	Male	47		Yes	1	6.308033333
9	59963	bare	Michael	abendessen	Das Abendessen ist fertig geworden.	M	evidence	evidence2	4	1024	768	Windows	Chrome	Deutsch	2	Male	47		Yes	1	6.308033333
9	73223	muss	Anna	hund	Der Nachbarshund muss gebellt haben.	F	speakerbelief	0.77	5	1024	768	Windows	Chrome	Deutsch	2	Male	47		Yes	1	6.308033333
9	73223	muss	Anna	hund	Der Nachbarshund muss gebellt haben.	F	evidence	evidence5	5	1024	768	Windows	Chrome	Deutsch	2	Male	47		Yes	1	6.308033333
9	77820	vermutlich	Bettina	regen	Es hat vermutlich geregnet.	F	speakerbelief	0.73	6	1024	768	Windows	Chrome	Deutsch	2	Male	47		Yes	1	6.308033333
9	77820	vermutlich	Bettina	regen	Es hat vermutlich geregnet.	F	evidence	evidence4	6	1024	768	Windows	Chrome	Deutsch	2	Male	47		Yes	1	6.308033333
10	70735	bare	Kevin	regen	Es hat geregnet.	M	speakerbelief	0.99	3	1920	1080	Windows	Firefox	Deutsch	2	Female	46		Yes	2	3.275616667
10	70735	bare	Kevin	regen	Es hat geregnet.	M	evidence	evidence1	3	1920	1080	Windows	Firefox	Deutsch	2	Female	46		Yes	2	3.275616667
10	33916	muss	Melanie	hund	Der Nachbarshund muss gebellt haben.	F	speakerbelief	0.48	4	1920	1080	Windows	Firefox	Deutsch	2	Female	46		Yes	2	3.275616667
10	33916	muss	Melanie	hund	Der Nachbarshund muss gebellt haben.	F	evidence	evidence3	4	1920	1080	Windows	Firefox	Deutsch	2	Female	46		Yes	2	3.275616667
10	22616	vermutlich	Angela	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	speakerbelief	0.5	5	1920	1080	Windows	Firefox	Deutsch	2	Female	46		Yes	2	3.275616667
10	22616	vermutlich	Angela	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	evidence	evidence4	5	1920	1080	Windows	Firefox	Deutsch	2	Female	46		Yes	2	3.275616667
10	19570	wohl	Christian	kaffee	Der Kaffee ist wohl kalt geworden.	M	speakerbelief	0.49	6	1920	1080	Windows	Firefox	Deutsch	2	Female	46		Yes	2	3.275616667
10	19570	wohl	Christian	kaffee	Der Kaffee ist wohl kalt geworden.	M	evidence	evidence4	6	1920	1080	Windows	Firefox	Deutsch	2	Female	46		Yes	2	3.275616667
11	66050	bare	Emilia	regen	Es hat geregnet.	F	speakerbelief	0.99	3	1920	1080	Windows	Firefox	deutsch	2	Male	41		Yes	2	4.020766667
11	66050	bare	Emilia	regen	Es hat geregnet.	F	evidence	evidence2	3	1920	1080	Windows	Firefox	deutsch	2	Male	41		Yes	2	4.020766667
11	32255	wohl	Michelle	hund	Der Nachbarshund hat wohl gebellt.	F	speakerbelief	0.98	4	1920	1080	Windows	Firefox	deutsch	2	Male	41		Yes	2	4.020766667
11	32255	wohl	Michelle	hund	Der Nachbarshund hat wohl gebellt.	F	evidence	evidence2	4	1920	1080	Windows	Firefox	deutsch	2	Male	41		Yes	2	4.020766667
11	42831	muss	Georg	kaffee	Der Kaffee muss kalt geworden sein.	M	speakerbelief	0.46	5	1920	1080	Windows	Firefox	deutsch	2	Male	41		Yes	2	4.020766667
11	42831	muss	Georg	kaffee	Der Kaffee muss kalt geworden sein.	M	evidence	evidence3	5	1920	1080	Windows	Firefox	deutsch	2	Male	41		Yes	2	4.020766667
11	40711	vermutlich	Cynthia	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	speakerbelief	0.65	6	1920	1080	Windows	Firefox	deutsch	2	Male	41		Yes	2	4.020766667
11	40711	vermutlich	Cynthia	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	evidence	evidence4	6	1920	1080	Windows	Firefox	deutsch	2	Male	41		Yes	2	4.020766667
12	59346	bare	Eva	regen	Es hat geregnet.	F	speakerbelief	0.65	3	1440	900	Windows	Firefox	deutsch	2	Female	31		Confused	2	2.974716667
12	59346	bare	Eva	regen	Es hat geregnet.	F	evidence	evidence2	3	1440	900	Windows	Firefox	deutsch	2	Female	31		Confused	2	2.974716667
12	34453	vermutlich	Susanne	kaffee	Der Kaffee ist vermutlich kalt geworden.	F	speakerbelief	0.57	4	1440	900	Windows	Firefox	deutsch	2	Female	31		Confused	2	2.974716667
12	34453	vermutlich	Susanne	kaffee	Der Kaffee ist vermutlich kalt geworden.	F	evidence	evidence2	4	1440	900	Windows	Firefox	deutsch	2	Female	31		Confused	2	2.974716667
12	24470	wohl	Melanie	abendessen	Das Abendessen ist wohl fertig geworden.	F	speakerbelief	0.69	5	1440	900	Windows	Firefox	deutsch	2	Female	31		Confused	2	2.974716667
12	24470	wohl	Melanie	abendessen	Das Abendessen ist wohl fertig geworden.	F	evidence	evidence4	5	1440	900	Windows	Firefox	deutsch	2	Female	31		Confused	2	2.974716667
12	32686	muss	Christoph	hund	Der Nachbarshund muss gebellt haben.	M	speakerbelief	0.77	6	1440	900	Windows	Firefox	deutsch	2	Female	31		Confused	2	2.974716667
12	32686	muss	Christoph	hund	Der Nachbarshund muss gebellt haben.	M	evidence	evidence3	6	1440	900	Windows	Firefox	deutsch	2	Female	31		Confused	2	2.974716667
13	54627	vermutlich	Samuel	abendessen	Das Abendessen ist vermutlich fertig geworden.	M	speakerbelief	0.57	3	1920	1200	Windows	Firefox	deutsch	2	Female	49		Yes	2	5.026
13	54627	vermutlich	Samuel	abendessen	Das Abendessen ist vermutlich fertig geworden.	M	evidence	evidence4	3	1920	1200	Windows	Firefox	deutsch	2	Female	49		Yes	2	5.026
13	43724	wohl	Christoph	regen	Es hat wohl geregnet.	M	speakerbelief	0.49	4	1920	1200	Windows	Firefox	deutsch	2	Female	49		Yes	2	5.026
